State,Clinton,Trump
Wyoming,21,57
Alaska,31,38
Montana,31,44
North Dakota,26,51
South Dakota,29,43
West Virginia,27,52
Delaware,43,33
Rhode Island,41,33
Hawaii,51,25
Idaho,25,44
Vermont,45,24
Minnesota,41,34
Maine,37,34
Nebraska,32,42
Louisiana,33,49
Indiana,30,46
Mississippi,43,46
Missouri,34,43
New Hampshire,40,34
Arkansas,37,46
Alabama,31,53
Nevada,40,37
Illinois,45,31
Oklahoma,26,49
Maryland,54,27
New Mexico,37,29
Connecticut,44,33
Massachusetts,48,29
Tennessee,31,51
Kentucky,29,52
New Jersey,49,34
Iowa,36,40
Texas,40,40
Wisconsin,39,37
Oregon,47,32
Washington,41,31
Kansas,30,43
Colorado,37,37
Virginia,43,36
New York,51,31
Arizona,37,39
Ohio,37,40
North Carolina,40,41
Pennsylvania,41,38
South Carolina,38,45
Michigan,39,38
Georgia,39,40
California,49,28
Florida,42,40
Utah,27,34
